iter	Passed	Remaining
401	19608	29168
402	19658	29121
403	19706	29071
404	19755	29023
405	19806	28978
406	19861	28938
407	19906	28884
408	19955	28835
409	20004	28787
410	20054	28739
411	20102	28689
412	20151	28641
413	20201	28593
414	20254	28551
415	20303	28503
416	20351	28452
417	20402	28406
418	20450	28357
419	20500	28310
420	20548	28259
421	20598	28212
422	20649	28167
423	20699	28119
424	20748	28071
425	20799	28026
426	20848	27976
427	20895	27926
428	20947	27880
429	21000	27837
430	21050	27791
431	21101	27744
432	21151	27697
433	21201	27649
434	21249	27600
435	21300	27553
436	21349	27504
437	21399	27458
438	21449	27411
439	21499	27363
440	21549	27315
441	21598	27267
442	21649	27220
443	21698	27172
444	21748	27124
445	21798	27077
446	21848	27029
447	21900	26983
448	21951	26937
449	21999	26888
450	22048	26838
451	22097	26790
452	22146	26742
453	22196	26693
454	22244	26645
455	22295	26598
456	22345	26551
457	22395	26503
458	22444	26453
459	22494	26406
460	22544	26359
461	22595	26312
462	22645	26264
463	22689	26210
464	22735	26158
465	22789	26114
466	22840	26068
467	22891	26022
468	22942	25974
469	22991	25926
470	23039	25876
471	23088	25828
472	23136	25777
473	23183	25726
474	23231	25677
475	23281	25629
476	23332	25582
477	23381	25534
478	23430	25484
479	23481	25438
480	23531	25390
481	23583	25345
482	23629	25293
483	23679	25244
484	23729	25196
485	23779	25149
486	23832	25104
487	23880	25055
488	23928	25004
489	23977	24956
490	24026	24907
491	24076	24859
492	24126	24811
493	24174	24761
494	24225	24715
495	24274	24665
496	24324	24618
497	24378	24574
498	24431	24529
499	24480	24480
500	24529	24431
501	24579	24383
502	24632	24338
503	24681	24289
504	24730	24240
505	24777	24190
506	24828	24143
507	24877	24094
508	24927	24045
509	24976	23996
510	25027	23949
511	25077	23902
512	25126	23853
513	25175	23804
514	25225	23755
515	25276	23708
516	25327	23662
517	25375	23611
518	25424	23563
519	25475	23516
520	25524	23467
521	25575	23419
522	25623	23370
523	25670	23319
524	25717	23268
525	25765	23218
526	25815	23170
527	25870	23126
528	25920	23078
529	25965	23025
530	26014	22976
531	26066	22930
532	26113	22879
533	26161	22830
534	26211	22782
535	26264	22736
536	26313	22687
537	26360	22636
538	26409	22587
539	26458	22538
540	26508	22490
541	26560	22443
542	26608	22393
543	26656	22344
544	26706	22296
545	26757	22248
546	26807	22201
547	26857	22152
548	26904	22102
549	26956	22055
550	27004	22005
551	27054	21957
552	27104	21909
553	27153	21860
554	27203	21812
555	27253	21763
556	27303	21715
557	27354	21668
558	27402	21618
559	27452	21569
560	27507	21525
561	27557	21476
562	27603	21425
563	27650	21375
564	27700	21327
565	27753	21281
566	27801	21231
567	27851	21183
568	27898	21132
569	27948	21083
570	28045	21070
571	28106	21031
572	28154	20981
573	28204	20932
574	28255	20884
575	28305	20836
576	28355	20787
577	28404	20738
578	28453	20689
579	28504	20640
580	28553	20591
581	28602	20542
582	28652	20494
583	28701	20444
584	28751	20396
585	28802	20348
586	28853	20300
587	28903	20251
588	28951	20202
589	29001	20153
590	29054	20107
591	29112	20063
592	29176	20024
593	29226	19976
594	29275	19927
595	29327	19879
596	29380	19833
597	29431	19785
598	29481	19736
599	29532	19688
600	29581	19639
601	29630	19589
602	29679	19540
603	29728	19491
604	29778	19442
605	29828	19393
606	29879	19345
607	29932	19298
608	29981	19248
609	30029	19199
610	30079	19150
611	30129	19101
612	30184	19056
613	30235	19007
614	30292	18963
615	30347	18918
616	30405	18874
617	30457	18826
618	30507	18777
619	30557	18728
620	30607	18679
621	30658	18631
622	30706	18581
623	30755	18532
624	30806	18484
625	30857	18435
626	30905	18385
627	30956	18337
628	31004	18287
629	31053	18237
630	31105	18189
631	31154	18140
632	31205	18092
633	31254	18042
634	31299	17990
