iter	MultiClass
0	1.885158808
1	1.600164038
2	1.416509061
3	1.282804509
4	1.173602169
5	1.08562722
6	1.012823324
7	0.9479585567
8	0.8985244426
9	0.8599328425
10	0.8252054522
11	0.7796648083
12	0.7565878759
13	0.7182801641
14	0.68611232
15	0.656091763
16	0.6382711994
17	0.6184065987
18	0.607817412
19	0.5965471976
20	0.5816707869
21	0.5684419253
22	0.5540399566
23	0.5388332215
24	0.5217377424
25	0.5140197924
26	0.5060294238
27	0.4974704382
28	0.4916388893
29	0.4891849683
30	0.4863294541
31	0.4770656608
32	0.4729885399
33	0.4698575874
34	0.4615396948
35	0.4535343163
36	0.4524692994
37	0.448103316
38	0.4419985063
39	0.4388616273
40	0.4355101219
41	0.4343616173
42	0.4288385833
43	0.4218624974
44	0.4170743057
45	0.4165755428
46	0.4129379145
47	0.410202687
48	0.4054329005
49	0.4049896957
50	0.4019746121
51	0.3999040703
52	0.3995286731
53	0.399145486
54	0.3951123597
55	0.3938491332
56	0.3916038994
57	0.3896847725
58	0.3872746379
59	0.3859950296
60	0.3839450258
61	0.3815999102
62	0.3774898851
63	0.372361642
64	0.370939425
65	0.3693767941
66	0.368067085
67	0.3674312257
68	0.3656486201
69	0.3654460006
70	0.3644318544
71	0.3622881517
72	0.3611416822
73	0.3601361371
74	0.3583811871
75	0.3564382053
76	0.3540079451
77	0.3513649568
78	0.3502799521
79	0.3486688926
80	0.3474818332
81	0.3458774259
82	0.3435741422
83	0.3423979201
84	0.3410763751
85	0.3395637787
86	0.3373376361
87	0.3361906
88	0.3350859447
89	0.3337590931
90	0.3325494216
91	0.3317694463
92	0.3290992416
93	0.3271947485
94	0.3263359713
95	0.3248658569
96	0.3240863549
97	0.3220490993
98	0.3210415951
99	0.319592143
100	0.318562713
101	0.3177593919
102	0.3169216373
103	0.3161538221
104	0.3152866308
105	0.3144839595
106	0.3136392457
107	0.3129866182
108	0.3122646469
109	0.3100065697
110	0.3090010023
111	0.308357901
112	0.3078454654
113	0.3070952649
114	0.3062617696
115	0.3052086585
116	0.3044317649
117	0.3035678233
118	0.3028372329
119	0.3021556032
120	0.3013418129
121	0.3002339772
122	0.2990590407
123	0.2958173463
124	0.2944253169
125	0.2931131642
126	0.292082778
127	0.2912233715
128	0.2906234536
129	0.2895469114
130	0.2877572439
131	0.2869687524
132	0.2861873761
133	0.2845821735
134	0.2832231192
135	0.2821690661
136	0.2814954964
137	0.2806098625
138	0.2801172293
139	0.2797084008
140	0.278795135
141	0.2781395025
142	0.2778345164
143	0.2773415131
144	0.2766827271
145	0.2761795369
146	0.2753603136
147	0.2744772242
148	0.2740932019
149	0.2732645393
150	0.2725788575
151	0.2715172681
152	0.2707762316
153	0.2694504981
154	0.2684641518
155	0.2666721701
156	0.2662889604
157	0.2651756911
158	0.2643307708
159	0.2634418957
160	0.2630119963
161	0.2626161077
162	0.26218352
163	0.2618013442
164	0.2610629488
165	0.2596331876
166	0.2591712452
167	0.2586625137
168	0.2580252911
169	0.2572910577
170	0.2566856563
171	0.2555465013
172	0.2553177849
173	0.2546881153
174	0.2542504756
175	0.253838097
176	0.2536436673
177	0.2529512061
178	0.2526056188
179	0.2515019175
180	0.2510176621
181	0.2505727637
182	0.2498289633
183	0.2494025551
184	0.2487890026
185	0.2484281604
186	0.2478589157
187	0.2470551529
188	0.2456458097
189	0.2453587601
190	0.2440063322
191	0.2437251388
192	0.2431144651
193	0.2427898015
194	0.2423931042
195	0.2420485432
196	0.2417703864
197	0.2414533196
198	0.2404140143
199	0.2400443527
200	0.2395201844
201	0.2390933922
202	0.2385392421
203	0.2382061166
204	0.2378548854
205	0.2374104254
206	0.2367706035
207	0.2362041218
208	0.2358986992
209	0.2355544551
210	0.2353083671
211	0.2349493243
212	0.2346719313
